Issue Date,Tender,Security Type,Discount Rate,Interest Rate
29 Oct 2018,1613,182 DAY BILL,13.4680,14.4405
22 Oct 2018,1612,91 DAY BILL,13.2946,13.7516
22 Oct 2018,1612,182 DAY BILL,13.4330,14.4002
22 Oct 2018,1612,3 YR FXR BOND,19.5000,19.5000
15 Oct 2018,1611,1 YR FXR NOTE,15.0000,15.0000
15 Oct 2018,1611,182 DAY BILL,13.3610,14.3175
15 Oct 2018,1611,91 DAY BILL,13.0345,13.4735
08 Oct 2018,1610,91 DAY BILL,12.9781,13.4133
08 Oct 2018,1610,182 DAY BILL,13.3236,14.2745
08 Oct 2018,1610,2 YR FXR NOTE,19.5000,19.5000
01 Oct 2018,1609,91 DAY BILL,12.9720,13.4068
01 Oct 2018,1609,182 DAY BILL,13.3761,14.3348
01 Oct 2018,1609,1 YR FXR NOTE,15.0000,15.0000
24 Sep 2018,1608,91 DAY BILL,12.9521,13.3855
24 Sep 2018,1608,182 DAY BILL,13.2408,14.1795
17 Sep 2018,1607,91 DAY BILL,12.9381,13.3705
17 Sep 2018,1607,182 DAY BILL,13.2456,14.1851
17 Sep 2018,1607,1 YR FXR NOTE,15.0000,15.0000
10 Sep 2018,1606,91 DAY BILL,12.9310,13.3630
10 Sep 2018,1606,182 DAY BILL,13.0260,13.9335
03 Sep 2018,1605,91 DAY BILL,12.9308,13.3628
03 Sep 2018,1605,182 DAY BILL,12.9378,13.8326
27 Aug 2018,1604,2 YR FXR NOTE,18.0000,18.0000
27 Aug 2018,1604,91 DAY BILL,12.8968,13.3265
27 Aug 2018,1604,182 DAY BILL,12.9667,13.8657
20 Aug 2018,1603,91 DAY BILL,12.8793,13.3078
20 Aug 2018,1603,182 DAY BILL,12.9640,13.8626
20 Aug 2018,1603,1 YR FXR NOTE,14.5000,14.5000
13 Aug 2018,1602,91 DAY BILL,12.8698,13.2976
13 Aug 2018,1602,182 DAY BILL,12.9629,13.8613
13 Aug 2018,1602,1 YR FXR NOTE,14.5000,14.5000
06 Aug 2018,1601,91 DAY BILL,12.8779,13.3063
06 Aug 2018,1601,182 DAY BILL,12.9243,13.8172
30 Jul 2018,1600,3 YR FXR BOND,18.0000,18.0000
30 Jul 2018,1600,91 DAY BILL,12.8831,13.3118
30 Jul 2018,1600,182 DAY BILL,12.9337,13.8279
30 Jul 2018,1600,1 YR FXR NOTE,14.5000,14.5000
23 Jul 2018,1599,91 DAY BILL,12.8962,13.3258
23 Jul 2018,1599,182 DAY BILL,12.9112,13.8022
16 Jul 2018,1598,91 DAY BILL,12.8863,13.3153
16 Jul 2018,1598,182 DAY BILL,12.9665,13.8654
16 Jul 2018,1598,1 YR FXR NOTE,14.5000,14.5000
09 Jul 2018,1597,91 DAY BILL,12.8934,13.3228
09 Jul 2018,1597,182 DAY BILL,12.9579,13.8556
02 Jul 2018,1596,1 YR FXR NOTE,15.0000,15.0000
02 Jul 2018,1596,3 YR FXR BOND,17.5000,17.5000
02 Jul 2018,1596,182 DAY BILL,12.9608,13.8589
02 Jul 2018,453,56 DAY BILL,0.0000,0.0000
02 Jul 2018,1596,91 DAY BILL,12.9020,13.3320
25 Jun 2018,1595,91 DAY BILL,12.8956,13.3252
25 Jun 2018,1595,182 DAY BILL,12.9546,13.8518
18 Jun 2018,1594,91 DAY BILL,12.9072,13.3376
18 Jun 2018,1594,182 DAY BILL,12.9915,13.8940
18 Jun 2018,1594,1 YR FXR NOTE,15.0000,15.0000
11 Jun 2018,1593,91 DAY BILL,12.8763,13.3046
11 Jun 2018,1593,182 DAY BILL,12.9258,13.8189
11 Jun 2018,1593,10 YR FXR BOND,17.5000,17.5000
04 Jun 2018,1592,91 DAY BILL,12.8130,13.2370
04 Jun 2018,1592,182 DAY BILL,12.9538,13.8509
04 Jun 2018,1592,1 YR FXR NOTE,15.0000,15.0000
28 May 2018,1591,91 DAY BILL,12.9078,13.3382
28 May 2018,1591,182 DAY BILL,12.9724,13.8722
21 May 2018,1590,1 YR FXR NOTE,15.0000,15.0000
21 May 2018,1590,3 YR FXR BOND,16.2500,16.2500
21 May 2018,1590,91 DAY BILL,12.9185,13.3496
21 May 2018,1590,182 DAY BILL,12.9325,13.8266
14 May 2018,1589,91 DAY BILL,12.9453,13.3783
14 May 2018,1589,182 DAY BILL,12.9608,13.8589
14 May 2018,1589,2 YR FXR NOTE,16.0000,16.0000
07 May 2018,1588,91 DAY BILL,12.8996,13.3295
07 May 2018,1588,182 DAY BILL,12.9409,13.8362
30 Apr 2018,1587,91 DAY BILL,12.9277,13.3595
30 Apr 2018,1587,182 DAY BILL,12.9645,13.8631
30 Apr 2018,1587,1 YR FXR NOTE,15.0000,15.0000
23 Apr 2018,1586,91 DAY BILL,12.8995,13.3294
23 Apr 2018,1586,182 DAY BILL,12.9854,13.8870
16 Apr 2018,1585,91 DAY BILL,12.9322,13.3643
16 Apr 2018,1585,182 DAY BILL,12.9727,13.8725
16 Apr 2018,1585,1 YR FXR NOTE,15.0000,15.0000
16 Apr 2018,1585,7 YR FXR BOND,16.2500,0.0000
09 Apr 2018,1584,91 DAY BILL,12.9042,13.3344
09 Apr 2018,1584,182 DAY BILL,12.9890,13.8912
02 Apr 2018,1583,182 DAY BILL,12.9833,13.8846
02 Apr 2018,1583,1 YR FXR NOTE,15.0000,15.0000
02 Apr 2018,1583,91 DAY BILL,12.8859,13.3148
26 Mar 2018,1582,182 DAY BILL,12.9970,13.9003
26 Mar 2018,1582,3 YR FXR BOND,16.5000,16.5000
26 Mar 2018,1582,1 YR FXR NOTE,15.0000,15.0000
26 Mar 2018,1582,91 DAY BILL,12.9322,13.3643
19 Mar 2018,1581,91 DAY BILL,12.9122,13.3429
19 Mar 2018,1581,182 DAY BILL,13.0071,13.9119
19 Mar 2018,1581,2 YR FXR NOTE,16.5000,16.5000
12 Mar 2018,1580,91 DAY BILL,12.9176,13.3487
12 Mar 2018,1580,182 DAY BILL,12.9792,13.8800
05 Mar 2018,1579,91 DAY BILL,12.9404,13.3730
05 Mar 2018,1579,182 DAY BILL,12.9871,13.8890
05 Mar 2018,1579,1 YR FXR NOTE,15.0000,15.0000
26 Feb 2018,1578,91 DAY BILL,12.9165,13.3475
26 Feb 2018,1578,182 DAY BILL,12.9942,13.8971
19 Feb 2018,1577,91 DAY BILL,12.9106,13.3412
19 Feb 2018,1577,2 YR FXR NOTE,16.5000,16.5000
19 Feb 2018,1577,182 DAY BILL,12.9909,13.8933
12 Feb 2018,1576,91 DAY BILL,12.9332,13.3653
12 Feb 2018,1576,182 DAY BILL,13.0031,13.9073
12 Feb 2018,1576,5 YR FXR BOND,16.5000,16.5000
05 Feb 2018,1575,1 YR FXR NOTE,15.0000,15.0000
05 Feb 2018,1575,91 DAY BILL,12.8912,13.3205
05 Feb 2018,1575,182 DAY BILL,12.9900,13.8923
29 Jan 2018,1574,91 DAY BILL,12.9201,13.3513
29 Jan 2018,1574,182 DAY BILL,13.0067,13.9114
22 Jan 2018,1573,182 DAY BILL,12.9256,13.8187
15 Jan 2018,1572,182 DAY BILL,12.9906,13.8930
08 Jan 2018,1571,182 DAY BILL,12.9748,13.8749
08 Jan 2018,1571,2 YR FXR NOTE,17.1800,17.1800
01 Jan 2018,1570,182 DAY BILL,12.9885,13.8906
01 Jan 2018,1570,1 YR FXR NOTE,15.0000,15.0000
25 Dec 2017,1569,182 DAY BILL,12.9828,13.8841
18 Dec 2017,1568,182 DAY BILL,12.7001,13.5612
18 Dec 2017,1568,1 YR FXR NOTE,15.0000,15.0000
11 Dec 2017,1567,182 DAY BILL,12.9651,13.8638
11 Dec 2017,1567,2 YR FXR NOTE,17.5000,17.5000
04 Dec 2017,1566,182 DAY BILL,12.9268,13.8200
04 Dec 2017,1566,1 YR FXR NOTE,15.0000,15.0000
04 Dec 2017,1566,91 DAY BILL,12.9099,13.3405
04 Dec 2017,1566,5 YR FXR BOND,17.6000,17.6000
27 Nov 2017,1565,182 DAY BILL,12.9622,13.8605
20 Nov 2017,1564,182 DAY BILL,12.9196,13.8118
20 Nov 2017,1564,1 YR FXR NOTE,15.0000,15.0000
13 Nov 2017,1563,182 DAY BILL,12.9716,13.8713
13 Nov 2017,1563,2 YR FXR NOTE,17.2400,98.5702
13 Nov 2017,1563,3 YR FXR BOND,6.2500,6.2500
13 Nov 2017,1563,3 YR FXR BOND,6.2500,6.2500
06 Nov 2017,1562,1 YR FXR NOTE,15.0000,15.0000
06 Nov 2017,1562,182 DAY BILL,12.8877,13.7754
30 Oct 2017,1561,182 DAY BILL,0.0000,0.0000
16 Oct 2017,1559,1 YR FXR NOTE,15.0000,15.0000
09 Oct 2017,1558,2 YR FXR NOTE,17.0000,17.0000
02 Oct 2017,1557,1 YR FXR NOTE,15.0000,15.0000
25 Sep 2017,1556,3 YR FXR BOND,18.2500,18.2500
18 Sep 2017,1555,1 YR FXR NOTE,15.0000,15.0000
11 Sep 2017,1554,2 YR FXR NOTE,17.0000,17.0000
